# DEC     RA      z
0.827666 20.648 0.583542
0.774433 23.0657 0.632367
0.789102 25.6959 0.60981
0.694442 23.9136 0.707433
0.990407 39.5293 0.464908
0.977112 42.3329 0.466884
0.856088 37.0223 0.554299
0.974362 47.3539 0.466209
0.708652 35.8779 0.666527
0.885885 47.6546 0.519346
0.689056 36.0586 0.712373
0.951268 59.8244 0.46423
0.781424 45.6936 0.605016
0.950753 63.9304 0.475633
0.992413 69.557 0.460425
0.692035 41.7083 0.733116
0.908405 65.2394 0.516344
0.790248 54.3189 0.610106
0.714554 48.4988 0.686158
0.738162 54.3602 0.636875
0.811221 66.3806 0.560025
0.722232 55.1056 0.664679
0.768589 59.45 0.644264
0.741371 59.1691 0.663473
0.803313 69.3071 0.615897
0.825489 88.0306 0.589176
0.69341 58.7086 0.733086
0.676106 64.2508 0.702683
0.666709 66.5852 0.714728
0.680346 74.4207 0.694728
0.712835 88.7698 0.709972
0.900899 0.627331 0.576284
0.854312 2.53104 0.588007
0.944793 3.98223 0.525382
0.840158 6.10148 0.622464
0.794947 7.47779 0.66544
0.849384 9.98574 0.592962
0.704469 9.64351 0.746555
0.883307 15.5247 0.575303
0.948518 18.7449 0.514914
0.897518 19.3847 0.545932
0.966912 22.5181 0.501597
0.937 24.5319 0.536307
0.703724 20.2039 0.730666
0.941011 27.7826 0.548403
0.760509 25.4712 0.670859
0.756957 26.7667 0.682466
0.997226 38.6195 0.486034
0.706016 27.2588 0.739598
0.92806 40.9531 0.527671
0.853338 38.3885 0.589454
0.809444 37.6278 0.63585
0.721717 33.8707 0.742295
0.975565 52.6199 0.498423
1.06467 59.4035 0.469416
0.850472 46.5414 0.594257
0.857864 48.9646 0.581022
0.71358 39.2541 0.741921
0.883651 51.3744 0.585533
0.767672 45.6464 0.667283
1.08553 89.0218 0.463604
1.00685 78.8195 0.480477
0.917517 64.2203 0.543112
1.00754 78.7691 0.503511
0.911672 74.4717 0.529803
0.810017 56.2472 0.651863
0.784862 57.3631 0.665248
0.885828 81.9205 0.557852
0.808986 68.3295 0.614985
0.847435 84.707 0.582575
0.86434 80.2292 0.606162
0.856145 84.6761 0.612964
0.796781 79.1976 0.642389
0.77833 77.3607 0.660158
0.693181 65.6564 0.743248
0.7467 87.8411 0.698179
0.859985 0.0843967 0.631119
0.981869 1.7348 0.544084
1.00307 4.34474 0.524218
0.844456 5.05945 0.65292
0.928691 7.88676 0.591506
0.839585 8.99223 0.659875
0.910239 12.1552 0.586829
0.788071 12.2335 0.681803
1.02869 18.744 0.515019
0.772657 15.2618 0.733782
1.07293 24.9486 0.473461
0.800677 18.3945 0.714103
0.809043 22.0357 0.663716
0.934249 27.2472 0.576194
0.964104 30.5238 0.54979
0.846748 28.532 0.667535
1.0296 40.2627 0.506493
0.757701 31.1231 0.7192
0.948403 41.2694 0.575613
1.00983 47.9605 0.519274
1.04576 50.2597 0.519587
1.07081 56.0298 0.496842
1.13442 65.9658 0.465139
1.08341 64.9839 0.483604
0.898492 53.1208 0.58344
0.816206 43.9979 0.699531
1.13677 89.2909 0.466957
0.979519 64.1426 0.536618
1.06152 79.8872 0.49225
1.00462 73.357 0.522939
0.878379 60.4825 0.601236
0.83036 52.0677 0.686007
0.885828 59.3762 0.627722
0.851733 59.7084 0.646336
0.938146 72.2703 0.586272
0.804115 61.5774 0.664766
0.788988 60.9832 0.686302
0.881129 86.9065 0.600597
0.751112 59.7198 0.732426
0.770823 65.5688 0.7075
0.812367 84.9343 0.692435
0.739537 80.7404 0.74494
0.916084 2.64191 0.63096
0.842278 3.74531 0.690969
0.830245 5.09319 0.722236
0.843539 7.15338 0.715742
1.14806 13.0532 0.489766
0.956655 12.3565 0.59615
1.09803 16.6431 0.516021
1.12485 19.6121 0.486187
0.903878 17.5803 0.657865
0.838611 17.6028 0.717105
0.982384 23.7477 0.57286
1.01952 25.6826 0.555539
0.858552 22.7542 0.680935
0.836204 24.4291 0.690625
0.897862 28.4314 0.636278
0.990579 33.8081 0.56895
1.16009 43.3746 0.462077
1.0582 39.0287 0.547939
1.0437 43.8177 0.535838
1.08038 45.7043 0.537276
1.05791 47.8268 0.54844
1.09207 54.257 0.51206
0.858437 41.8157 0.683161
0.952128 50.8145 0.585245
1.09837 61.0967 0.522811
0.881015 46.0929 0.669703
1.0653 66.1478 0.518468
1.15121 84.3157 0.480396
1.12914 88.4166 0.486591
0.913104 55.3658 0.620372
0.796953 45.633 0.749065
0.874654 52.5827 0.677833
1.09235 88.8961 0.527643
0.999232 80.2918 0.55832
0.955222 78.6969 0.589837
0.968975 76.825 0.606024
0.951039 77.5903 0.611912
0.9115 89.6713 0.616445
0.844914 64.9537 0.72319
0.911385 89.899 0.655671
0.811679 77.8653 0.719102
1.24399 0.785411 0.484413
0.933561 2.01681 0.681276
1.21018 4.75337 0.491126
1.12519 6.73581 0.531852
1.04422 7.99425 0.561428
1.26479 11.712 0.465814
1.04645 11.1952 0.59001
1.28445 16.8364 0.463309
1.18834 17.5312 0.506119
1.11808 18.5877 0.548421
0.917173 17.7504 0.678538
1.18485 25.8559 0.489919
1.2617 28.8095 0.460429
1.16032 29.3135 0.498786
1.21264 34.6387 0.483627
1.10691 34.1174 0.533329
1.08737 33.6865 0.56811
1.10691 38.4616 0.535509
1.16794 43.482 0.518208
0.921757 34.7375 0.683498
1.19551 52.0775 0.486062
1.05791 44.4128 0.574755
0.966339 42.9562 0.615032
1.22708 60.7309 0.482723
0.882275 42.0167 0.688591
1.26806 83.7108 0.452734
1.22187 71.132 0.487725
0.844055 43.1002 0.738592
0.909437 47.3976 0.691464
0.896372 47.0642 0.710009
1.17591 84.8461 0.499887
1.06118 70.1232 0.559087
1.10433 75.637 0.555356
1.03791 70.4874 0.585142
1.03826 83.8189 0.564704
1.02278 74.6668 0.601217
1.00846 75.1683 0.618539
0.952644 75.513 0.625011
0.881931 61.2417 0.732746
0.927831 77.211 0.663271
0.91362 86.2912 0.688795
0.854827 73.5914 0.749842
1.24456 1.19433 0.49134
1.23728 3.25698 0.495952
1.29156 5.72213 0.485608
0.884625 5.83053 0.749904
1.09235 9.0953 0.58506
0.874368 9.82244 0.745299
1.22622 14.1065 0.522069
1.02725 14.2048 0.619019
1.1845 18.4041 0.519217
1.35638 24.4892 0.451234
1.25906 24.875 0.488428
1.32222 28.95 0.463305
1.14485 26.2601 0.565873
1.0798 29.6372 0.576282
1.17923 33.4027 0.534788
1.26548 38.6651 0.501476
1.34978 44.3249 0.452373
1.11126 36.8624 0.572982
1.22021 42.4326 0.524613
1.3056 51.9914 0.460421
1.31952 54.3469 0.455484
0.915568 33.8797 0.744621
1.18702 51.5688 0.515648
1.01843 43.521 0.615408
1.33769 66.4349 0.463109
1.07573 49.1533 0.591977
0.927487 41.4948 0.710372
1.37093 80.5025 0.451375
1.29494 82.7898 0.463604
1.02399 52.0732 0.621874
1.27161 84.2306 0.485464
1.15247 67.0521 0.545033
1.20915 78.4133 0.520506
0.988745 56.0035 0.651634
0.924794 50.6966 0.718013
1.079 70.5619 0.574607
0.91872 54.5151 0.71092
1.13946 86.4116 0.560503
1.05957 75.3855 0.595983
1.02851 70.2844 0.636238
1.00422 82.4385 0.627014
0.994132 80.6639 0.653836
0.928519 72.8535 0.710635
0.935567 80.0821 0.711225
0.869669 84.6456 0.746822
1.25769 2.60003 0.513595
1.1547 3.86408 0.584047
1.02725 4.4037 0.673888
1.33179 9.58329 0.496489
1.27356 11.0514 0.520897
1.09648 10.9207 0.623195
1.404 17.3105 0.461988
0.969262 13.361 0.71766
1.14662 19.4438 0.584735
1.13212 21.7057 0.576129
1.30176 28.1602 0.500379
1.18055 27.1671 0.548092
1.25557 29.8794 0.534028
1.19906 31.676 0.565677
1.05682 30.043 0.637769
1.32113 39.1494 0.506304
1.31259 45.2759 0.489461
1.19281 42.6337 0.540224
1.24284 46.6468 0.526751
1.1841 45.7799 0.556338
1.33672 58.9048 0.478251
1.38474 65.5904 0.462328
1.44074 70.4775 0.459312
1.31609 64.1351 0.494013
1.3903 76.8688 0.466476
1.15453 54.0249 0.589244
0.973044 44.2502 0.726625
1.17579 59.8046 0.575968
1.11906 59.2018 0.591544
1.01161 51.8005 0.675059
1.07992 57.1093 0.632975
1.1531 72.4181 0.562981
1.04152 59.0946 0.657351
1.01419 56.8729 0.694023
0.967027 57.0222 0.720103
1.01287 65.4463 0.66004
1.11734 86.273 0.608067
1.00124 72.8926 0.680337
0.940037 73.775 0.739287
0.921184 89.4678 0.744502
1.01379 2.57487 0.720152
1.44613 6.2457 0.464176
1.17556 7.62074 0.589584
1.44561 11.7296 0.46755
1.31626 13.6873 0.535421
1.21917 15.0077 0.56478
1.41833 21.7183 0.487434
1.24428 21.5423 0.566124
1.46114 29.1728 0.475809
1.44062 32.7734 0.480253
1.22049 29.4166 0.580635
1.21396 31.8021 0.585403
1.41111 39.9645 0.490474
1.33609 39.627 0.516944
1.14783 36.421 0.607259
1.15356 39.0057 0.604014
1.11499 37.5691 0.658437
1.03717 36.606 0.703179
1.39489 55.5739 0.493499
1.14467 44.5762 0.625935
1.05969 42.2808 0.679167
1.21734 52.792 0.569719
